dataset_id,source_id,external_id,title,endpoint_url,format,update_frequency,expected_freshness_days,geo_granularity,time_granularity,priority,ingestion_mode,target_tables,personal_data,statistical_secrecy
cog-communes,insee-fichiers,8377162,COG 2025 (communes / mouvements depuis 1943 / départements / régions),https://www.insee.fr/fr/statistiques/fichier/8377162/v_commune_2025.csv,CSV,annuelle,400,commune,millesime,P0,file_download,geo.geography_reference|geo.geography_history,false,false
geo-api-communes,api-geo,,Population legale et numero SIREN par commune (API Geo),https://geo.api.gouv.fr/communes,JSON,continue,400,commune,millesime,P0,api_pull,geo.geography_reference,false,false
table-appartenance-geo,insee-fichiers,,Table d'appartenance geographique des communes,https://www.insee.fr/fr/information/2028028,XLSX,annuelle,400,commune,millesime,P0,file_download,geo.geography_reference,false,false
admin-express-cog,ign,,ADMIN EXPRESS COG (géométries administratives),https://geoservices.ign.fr/adminexpress,GPKG,annuelle,400,commune,millesime,P0,file_download,geo.geography_reference,false,false
gisco-nuts,gisco,nuts-2024,Geometries NUTS et correspondances LAU,https://gisco-services.ec.europa.eu/distribution/v2/nuts/nuts-2024-files.json,GeoJSON,triennale,1200,nuts3,version,P0,file_download,geo.geography_reference|geo.geography_history,false,false
melodi-filosofi-cc,insee-melodi,DS_FILOSOFI_CC,Filosofi 2 : niveau de vie et pauvreté à la commune,https://api.insee.fr/melodi/data/DS_FILOSOFI_CC,JSON,annuelle,420,commune,annee,P0,melodi_pull,core.observations,false,true
melodi-populations-historiques,insee-melodi,DS_POPULATIONS_HISTORIQUES,Populations municipales 1968-,https://api.insee.fr/melodi/data/DS_POPULATIONS_HISTORIQUES,JSON,annuelle,420,commune,annee,P0,melodi_pull,core.observations,false,false
melodi-side-stocks,insee-melodi,DS_SIDE_STOCKS_COM,Stocks d'unités locales (établissements) par territoire,https://api.insee.fr/melodi/data/DS_SIDE_STOCKS_COM,JSON,annuelle,420,commune,annee,P0,melodi_pull,core.observations,false,false
melodi-rp-population,insee-melodi,DS_RP_TD_POPULATION_AGESEX_PRINC,Recensement : population par age et sexe,https://api.insee.fr/melodi/data/DS_RP_TD_POPULATION_AGESEX_PRINC,Parquet,annuelle,420,commune,annee,P0,melodi_pull,core.observations_dimensional,false,false
melodi-cna-apu,insee-melodi,DD_CNA_APU,Comptes des APU par fonction COFOG,https://api.insee.fr/melodi/data/DD_CNA_APU,JSON,annuelle,420,pays,annee,P0,melodi_pull,core.observations,false,false
bdm-dette-apu,insee-bdm,CNA-2014-DETTE-APU,Dette Maastricht annuelle par sous-secteur,https://api.insee.fr/series/BDM/V1/data/CNA-2014-DETTE-APU,SDMX-ML,annuelle,420,pays,annee,P0,sdmx_pull,fin.public_debt|core.observations,false,false
bdm-dette-trim,insee-bdm,DETTE-TRIM-APU-2020,Dette trimestrielle des APU,https://api.insee.fr/series/BDM/V1/data/DETTE-TRIM-APU-2020,SDMX-ML,trimestrielle,120,pays,trimestre,P0,sdmx_pull,fin.public_debt|core.observations,false,false
